Elapsed Time = 0:01.87, CPU Usage = 211%, CPU Time= 0.99, Job = 140
Elapsed Time = 0:02.00, CPU Usage = 204%, CPU Time= 1.18, Job = 141
Elapsed Time = 0:01.95, CPU Usage = 206%, CPU Time= 1.33, Job = 142
Elapsed Time = 0:01.92, CPU Usage = 208%, CPU Time= 1.40, Job = 143
Elapsed Time = 0:02.38, CPU Usage = 187%, CPU Time= 1.40, Job = 144
Elapsed Time = 0:01.99, CPU Usage = 205%, CPU Time= 1.44, Job = 145
Elapsed Time = 0:02.01, CPU Usage = 204%, CPU Time= 1.38, Job = 146
Elapsed Time = 0:01.99, CPU Usage = 204%, CPU Time= 1.35, Job = 147
Elapsed Time = 0:01.92, CPU Usage = 208%, CPU Time= 1.11, Job = 148
Elapsed Time = 0:02.38, CPU Usage = 187%, CPU Time= 1.08, Job = 149
Elapsed Time = 0:01.85, CPU Usage = 212%, CPU Time= 0.92, Job = 150
Elapsed Time = 0:02.01, CPU Usage = 201%, CPU Time= 0.88, Job = 151
Elapsed Time = 0:02.32, CPU Usage = 188%, CPU Time= 0.78, Job = 152
Elapsed Time = 0:01.92, CPU Usage = 208%, CPU Time= 0.95, Job = 153
Elapsed Time = 0:01.90, CPU Usage = 204%, CPU Time= 0.98, Job = 154
Elapsed Time = 0:02.01, CPU Usage = 199%, CPU Time= 0.90, Job = 155
Elapsed Time = 0:01.94, CPU Usage = 199%, CPU Time= 0.87, Job = 156
Elapsed Time = 0:01.92, CPU Usage = 208%, CPU Time= 0.82, Job = 157
Elapsed Time = 0:02.45, CPU Usage = 184%, CPU Time= 0.91, Job = 158
Elapsed Time = 0:01.93, CPU Usage = 207%, CPU Time= 1.01, Job = 159
Elapsed Time = 0:02.80, CPU Usage = 172%, CPU Time= 1.04, Job = 160
Elapsed Time = 0:01.98, CPU Usage = 199%, CPU Time= 1.09, Job = 161
Elapsed Time = 0:02.02, CPU Usage = 200%, CPU Time= 1.23, Job = 162
Elapsed Time = 0:01.95, CPU Usage = 200%, CPU Time= 1.21, Job = 163
Elapsed Time = 0:02.05, CPU Usage = 201%, CPU Time= 1.24, Job = 164
Elapsed Time = 0:02.02, CPU Usage = 196%, CPU Time= 1.17, Job = 165
Elapsed Time = 0:01.78, CPU Usage = 214%, CPU Time= 1.23, Job = 166
Elapsed Time = 0:01.80, CPU Usage = 212%, CPU Time= 1.19, Job = 167
Elapsed Time = 0:02.04, CPU Usage = 201%, CPU Time= 1.19, Job = 168
Elapsed Time = 0:02.05, CPU Usage = 174%, CPU Time= 0.96, Job = 169
Elapsed Time = 0:01.94, CPU Usage = 205%, CPU Time= 1.20, Job = 170
Elapsed Time = 0:02.06, CPU Usage = 200%, CPU Time= 1.34, Job = 171
Elapsed Time = 0:02.05, CPU Usage = 200%, CPU Time= 1.24, Job = 172
Elapsed Time = 0:03.63, CPU Usage = 155%, CPU Time= 1.19, Job = 173
Elapsed Time = 0:01.98, CPU Usage = 202%, CPU Time= 1.15, Job = 174
Elapsed Time = 0:01.98, CPU Usage = 203%, CPU Time= 1.28, Job = 175
Elapsed Time = 0:02.05, CPU Usage = 201%, CPU Time= 1.28, Job = 176
Elapsed Time = 0:01.86, CPU Usage = 212%, CPU Time= 1.26, Job = 177
Elapsed Time = 0:01.79, CPU Usage = 216%, CPU Time= 1.26, Job = 178
Elapsed Time = 0:02.04, CPU Usage = 199%, CPU Time= 1.15, Job = 179
Elapsed Time = 0:01.79, CPU Usage = 216%, CPU Time= 1.27, Job = 180
Elapsed Time = 0:01.82, CPU Usage = 214%, CPU Time= 1.18, Job = 181
Elapsed Time = 0:01.71, CPU Usage = 221%, CPU Time= 1.15, Job = 182
Elapsed Time = 0:01.92, CPU Usage = 206%, CPU Time= 1.23, Job = 183
Elapsed Time = 0:03.49, CPU Usage = 158%, CPU Time= 1.21, Job = 184
Elapsed Time = 0:01.91, CPU Usage = 208%, CPU Time= 1.26, Job = 185
Elapsed Time = 0:01.84, CPU Usage = 212%, CPU Time= 1.24, Job = 186
Elapsed Time = 0:01.75, CPU Usage = 218%, CPU Time= 1.24, Job = 187
Elapsed Time = 0:03.10, CPU Usage = 167%, CPU Time= 1.37, Job = 188
Elapsed Time = 0:02.02, CPU Usage = 202%, CPU Time= 1.18, Job = 189
Elapsed Time = 0:02.13, CPU Usage = 197%, CPU Time= 1.35, Job = 190
Elapsed Time = 0:02.14, CPU Usage = 197%, CPU Time= 1.32, Job = 191
Elapsed Time = 0:02.46, CPU Usage = 185%, CPU Time= 1.26, Job = 192
Elapsed Time = 0:02.08, CPU Usage = 193%, CPU Time= 1.11, Job = 193
Elapsed Time = 0:02.26, CPU Usage = 192%, CPU Time= 1.21, Job = 194
Elapsed Time = 0:01.88, CPU Usage = 209%, CPU Time= 1.20, Job = 195
Elapsed Time = 0:02.10, CPU Usage = 199%, CPU Time= 1.17, Job = 196
Elapsed Time = 0:02.24, CPU Usage = 188%, CPU Time= 1.12, Job = 197
Elapsed Time = 0:01.94, CPU Usage = 207%, CPU Time= 1.18, Job = 198
Elapsed Time = 0:01.85, CPU Usage = 212%, CPU Time= 1.25, Job = 199
Elapsed Time = 0:01.94, CPU Usage = 206%, CPU Time= 1.29, Job = 200
Elapsed Time = 0:01.98, CPU Usage = 205%, CPU Time= 1.21, Job = 201
Elapsed Time = 0:01.80, CPU Usage = 215%, CPU Time= 1.21, Job = 202
Elapsed Time = 0:01.98, CPU Usage = 204%, CPU Time= 1.32, Job = 203
Elapsed Time = 0:02.45, CPU Usage = 182%, CPU Time= 1.15, Job = 204
Elapsed Time = 0:01.83, CPU Usage = 201%, CPU Time= 1.13, Job = 205
Elapsed Time = 0:01.84, CPU Usage = 213%, CPU Time= 1.24, Job = 206
Elapsed Time = 0:01.97, CPU Usage = 205%, CPU Time= 1.24, Job = 207
Elapsed Time = 0:02.09, CPU Usage = 199%, CPU Time= 1.26, Job = 208
Elapsed Time = 0:02.08, CPU Usage = 199%, CPU Time= 1.26, Job = 209
Elapsed Time = 0:02.15, CPU Usage = 196%, CPU Time= 1.15, Job = 210
Elapsed Time = 0:01.86, CPU Usage = 202%, CPU Time= 1.09, Job = 211
Elapsed Time = 0:01.94, CPU Usage = 207%, CPU Time= 1.18, Job = 212
Elapsed Time = 0:02.47, CPU Usage = 163%, CPU Time= 0.96, Job = 213
Elapsed Time = 0:01.81, CPU Usage = 211%, CPU Time= 1.16, Job = 214
Elapsed Time = 0:01.95, CPU Usage = 207%, CPU Time= 1.21, Job = 215
Elapsed Time = 0:02.00, CPU Usage = 200%, CPU Time= 1.19, Job = 216
Elapsed Time = 0:02.04, CPU Usage = 203%, CPU Time= 1.21, Job = 217
Elapsed Time = 0:01.98, CPU Usage = 205%, CPU Time= 1.20, Job = 218
Elapsed Time = 0:01.90, CPU Usage = 205%, CPU Time= 1.28, Job = 219
Elapsed Time = 0:02.12, CPU Usage = 183%, CPU Time= 1.07, Job = 220
Elapsed Time = 0:02.01, CPU Usage = 186%, CPU Time= 0.95, Job = 221
Elapsed Time = 0:01.93, CPU Usage = 207%, CPU Time= 1.11, Job = 222
Elapsed Time = 0:01.88, CPU Usage = 211%, CPU Time= 1.26, Job = 223
Elapsed Time = 0:01.93, CPU Usage = 201%, CPU Time= 1.11, Job = 224
Elapsed Time = 0:02.11, CPU Usage = 197%, CPU Time= 1.17, Job = 225
Elapsed Time = 0:01.95, CPU Usage = 202%, CPU Time= 1.10, Job = 226
Elapsed Time = 0:02.10, CPU Usage = 198%, CPU Time= 1.25, Job = 227
Elapsed Time = 0:01.91, CPU Usage = 208%, CPU Time= 1.23, Job = 228
Elapsed Time = 0:01.91, CPU Usage = 207%, CPU Time= 1.21, Job = 229
Elapsed Time = 0:02.28, CPU Usage = 182%, CPU Time= 1.14, Job = 230
Elapsed Time = 0:02.04, CPU Usage = 199%, CPU Time= 1.25, Job = 231
Elapsed Time = 0:02.07, CPU Usage = 196%, CPU Time= 1.18, Job = 232
Elapsed Time = 0:02.14, CPU Usage = 195%, CPU Time= 1.22, Job = 233
Elapsed Time = 0:02.05, CPU Usage = 195%, CPU Time= 1.27, Job = 234
Elapsed Time = 0:01.91, CPU Usage = 200%, CPU Time= 1.14, Job = 235
Elapsed Time = 0:02.03, CPU Usage = 199%, CPU Time= 1.28, Job = 236
Elapsed Time = 0:01.92, CPU Usage = 199%, CPU Time= 1.16, Job = 237
Elapsed Time = 0:02.07, CPU Usage = 194%, CPU Time= 1.10, Job = 238
Elapsed Time = 0:02.25, CPU Usage = 172%, CPU Time= 1.04, Job = 239
Elapsed Time = 0:01.85, CPU Usage = 201%, CPU Time= 1.13, Job = 240
Elapsed Time = 0:01.89, CPU Usage = 208%, CPU Time= 1.15, Job = 241
Elapsed Time = 0:02.00, CPU Usage = 202%, CPU Time= 1.31, Job = 242
Elapsed Time = 0:02.06, CPU Usage = 198%, CPU Time= 1.27, Job = 243
Elapsed Time = 0:01.95, CPU Usage = 205%, CPU Time= 1.15, Job = 244
Elapsed Time = 0:02.11, CPU Usage = 196%, CPU Time= 1.21, Job = 245
Elapsed Time = 0:02.02, CPU Usage = 202%, CPU Time= 1.23, Job = 246
Elapsed Time = 0:02.00, CPU Usage = 204%, CPU Time= 1.26, Job = 247
Elapsed Time = 0:02.05, CPU Usage = 201%, CPU Time= 1.28, Job = 248
Elapsed Time = 0:02.01, CPU Usage = 203%, CPU Time= 1.20, Job = 249
Elapsed Time = 0:01.98, CPU Usage = 204%, CPU Time= 1.16, Job = 250
Elapsed Time = 0:02.00, CPU Usage = 203%, CPU Time= 1.16, Job = 251
Elapsed Time = 0:02.00, CPU Usage = 203%, CPU Time= 1.18, Job = 252
Elapsed Time = 0:02.01, CPU Usage = 200%, CPU Time= 1.13, Job = 253
Elapsed Time = 0:01.97, CPU Usage = 204%, CPU Time= 1.21, Job = 254
Elapsed Time = 0:01.96, CPU Usage = 205%, CPU Time= 1.21, Job = 255
Elapsed Time = 0:02.05, CPU Usage = 201%, CPU Time= 1.24, Job = 256
Elapsed Time = 0:02.05, CPU Usage = 199%, CPU Time= 1.16, Job = 257
Elapsed Time = 0:01.87, CPU Usage = 210%, CPU Time= 1.28, Job = 258
Elapsed Time = 0:02.02, CPU Usage = 203%, CPU Time= 1.24, Job = 259
Elapsed Time = 0:01.98, CPU Usage = 200%, CPU Time= 1.28, Job = 260
Elapsed Time = 0:02.02, CPU Usage = 202%, CPU Time= 1.25, Job = 261
Elapsed Time = 0:01.90, CPU Usage = 206%, CPU Time= 1.22, Job = 262
Elapsed Time = 0:02.12, CPU Usage = 189%, CPU Time= 1.13, Job = 263
Elapsed Time = 0:02.08, CPU Usage = 193%, CPU Time= 1.16, Job = 264
Elapsed Time = 0:01.79, CPU Usage = 216%, CPU Time= 1.21, Job = 265
Elapsed Time = 0:01.70, CPU Usage = 218%, CPU Time= 1.21, Job = 266
Elapsed Time = 0:01.79, CPU Usage = 217%, CPU Time= 1.22, Job = 267
Elapsed Time = 0:01.95, CPU Usage = 207%, CPU Time= 1.21, Job = 268
Elapsed Time = 0:01.77, CPU Usage = 213%, CPU Time= 1.24, Job = 269
Elapsed Time = 0:01.71, CPU Usage = 218%, CPU Time= 1.22, Job = 270
Elapsed Time = 0:01.77, CPU Usage = 218%, CPU Time= 1.28, Job = 271
Elapsed Time = 0:01.85, CPU Usage = 211%, CPU Time= 1.17, Job = 272
Elapsed Time = 0:02.16, CPU Usage = 188%, CPU Time= 1.20, Job = 273
Elapsed Time = 0:01.81, CPU Usage = 212%, CPU Time= 1.24, Job = 274
Elapsed Time = 0:02.67, CPU Usage = 178%, CPU Time= 1.27, Job = 275
Elapsed Time = 0:01.78, CPU Usage = 217%, CPU Time= 1.20, Job = 276
Elapsed Time = 0:01.77, CPU Usage = 218%, CPU Time= 1.28, Job = 277
Elapsed Time = 0:02.29, CPU Usage = 190%, CPU Time= 1.15, Job = 278
Elapsed Time = 0:01.94, CPU Usage = 207%, CPU Time= 1.18, Job = 279
Elapsed Time = 0:01.92, CPU Usage = 208%, CPU Time= 1.16, Job = 280
Elapsed Time = 0:01.73, CPU Usage = 220%, CPU Time= 1.26, Job = 281
Elapsed Time = 0:01.76, CPU Usage = 218%, CPU Time= 1.23, Job = 282
Elapsed Time = 0:02.26, CPU Usage = 192%, CPU Time= 1.35, Job = 283
Elapsed Time = 0:01.84, CPU Usage = 213%, CPU Time= 1.28, Job = 284
Elapsed Time = 0:01.71, CPU Usage = 222%, CPU Time= 1.15, Job = 285
Elapsed Time = 0:01.74, CPU Usage = 218%, CPU Time= 1.11, Job = 286
Elapsed Time = 0:01.77, CPU Usage = 217%, CPU Time= 1.20, Job = 287
Elapsed Time = 0:01.80, CPU Usage = 215%, CPU Time= 1.20, Job = 288
Elapsed Time = 0:01.60, CPU Usage = 229%, CPU Time= 1.22, Job = 289
Elapsed Time = 0:01.70, CPU Usage = 222%, CPU Time= 1.26, Job = 290
Elapsed Time = 0:02.07, CPU Usage = 190%, CPU Time= 1.20, Job = 291
Elapsed Time = 0:01.79, CPU Usage = 216%, CPU Time= 1.35, Job = 292
Elapsed Time = 0:01.79, CPU Usage = 216%, CPU Time= 1.30, Job = 293
Elapsed Time = 0:01.86, CPU Usage = 205%, CPU Time= 1.24, Job = 294
Elapsed Time = 0:01.91, CPU Usage = 197%, CPU Time= 1.09, Job = 295
